,Year,DataNeeded,BloodinHand (ref. priority extraction sheet for location of sample) ,,Metal,ColorCombo,Sex,DateLastCaptured,Status,Location,Age,ColorCrest,ColorProximalLowerMmandible,BloodTaken,FeathersTaken,Mass,Tarsus,Wing,RFID,,,,,,,
,2019,,Yes,,244102024,,,4/18/2019,,NB8,Nestling,,,Yes,,18.53 (w/ fecal sac),19.2,,011016ECBF,,,,,,,
,2019,,Yes,,244102023,SYR,,4/18/2019,,NB8,Nestling,,,Yes,,16.6,19.3,,011016A7D3,,,,,,,
,2019,,Yes,,244102030,YLS,,4/18/2019,,NB29,Nestling,,,Yes,,18.1,19.5,,011016CAE9,,,,,,,
,2019,,Yes,,244102025,YSG,,4/18/2019,,NB29,Nestling,,,Yes,,17.3,18.4,,01103F6CB3,,,,,,,
,2019,,Yes,,244102027,YWS,,4/18/2019,,NB29,Nestling,,,Yes,,16.7,19.4,,0110135571*,,,,,,,
,2019,,Yes,,244102028,YYT,,4/18/2019,,NB29,Nestling,,,Yes,,16,18.3,,011017397A,,,,,,,
,2019,,Yes,,244102031,YYW,,4/18/2019,,NB29,Nestling,,,Yes,,16.6,18.4,,01103F6191,,,,,,,
,2019,,Yes,,244102026,YYY,,4/18/2019,,NB29,Nestling,,,Yes,,16.6,18.7,,011016F2FA,,,,,,,
,2019,,Yes,,244102034,SOO,,4/19/2019,,NB1,Nestling,,,Yes,,18.1,18.1,,011016EF46,,,,,,,
,2019,,Yes,,244102035,SOS,,4/19/2019,,NB1,Nestling,,,Yes,,18.3,18.3,,011016AE88,,,,,,,
,2019,,Yes,,244102036,SRL,,4/19/2019,,NB1,Nestling,,,Yes,,18.4,18.4,,011016C0E2,,,,,,,
,2019,,Yes,,244102033,SSY,,4/19/2019,,NB1,Nestling,,,Yes,,16.5,16.5,,011016CE9F,,,,,,,
,2019,,Yes,,244102037,STR,,4/19/2019,,NB1,Nestling,,,Yes,,19.2,19.2,,011016F790,,,,,,,
,2019,,Yes,,244102038,SYG,,4/19/2019,,NB1,Nestling,,,Yes,,18.2,18.2,,011016BF7B,,,,,,,
,2019,,Yes,,244102032,SYO,,4/19/2019,,NB1,Nestling,,,Yes,,17/8,17.8,,011016AD6C,,,,,,,
,2019,,Yes,,244102044,YGW,,4/19/2019,,NB13,Nestling,,,Yes,,16,18.9,,011016B7B2,,,,,,,
,2019,,Yes,,244102040,YLW,,4/19/2019,,NB13,Nestling,,,Yes,,16.9,18.9,,011016CDBE,,,,,,,
,2019,,Yes,,244102042,YOO,,4/19/2019,,NB13,Nestling,,,Yes,,16.5,19,,0110171C36,,,,,,,
,2019,,Yes,,244102041,YRR,,4/19/2019,,NB13,Nestling,,,Yes,,16.6,19,,01103F7472,,,,,,,
,2019,,Yes,,244102043,YSY,,4/19/2019,,NB13,Nestling,,,Yes,,18.8,19.7,,011016B09C,,,,,,,
,2019,,Yes,,244102039,YYW,,4/19/2019,,NB13,Nestling,,,Yes,,17.2,18.9,,011016BEB0,,,,,,,
,2019,,Yes,,244102048,SLL,,4/19/2019,,NB65,nestling,,,Yes,,18.3,18.3,,011016ABB3,,,,,,,
,2019,,Yes,,244102046,SRB,,4/19/2019,,NB65,nestling,,,Yes,,19.5,19.5,,011016F58A,,,,,,,
,2019,,Yes,,244102049,SRW,,4/19/2019,,NB65,nestling,,,Yes,,18.9,18.9,,011016DA4B,,,,,,,
,2019,,Yes,,244102047,SSL,,4/19/2019,,NB65,nestling,,,Yes,,19.1,19.1,,011016CE16,,,,,,,
,2019,,Yes,,244102051,STG,,4/19/2019,,NB65,nestling,,,Yes,,19.4,19.4,,01101714B8,,,,,,,
,2019,,Yes,,244102045,STL,,4/19/2019,,NB65,nestling,,,Yes,,14.5,17.7,,011016DB25,,,,,,,
,2019,,Yes,,244102050,STO,,4/19/2019,,NB65,nestling,,,Yes,,19.2,19.2,,011016AC90,,,,,,,
,2019,,Yes,,244102058,SBW,,4/20/2019,,NB39,Nestling,,,Yes ,,17.1,not taken,,011016ED4D,,,,,,,
,2019,,Yes,,244102059,SGO,,4/20/2019,,NB39,Nestling,,,Yes ,,16.7,not taken,,011016F6D4,,,,,,,
,2019,,Yes,,244102056,SGR,,4/20/2019,,NB29,Adult (second year),,,Yes,,-,-,,011016A73F,,,,,,,
,2019,,Yes,,244102060,SLT,,4/20/2019,,NB39,Nestling,,,Yes ,,15.6,not taken,,011016AA27,,,,,,,
,2019,,Yes,,244102052,SOT,,4/20/2019,,NB1,Adult,,,Yes,,-,-,,011016A3E3,,,,,,,
,2019,,Yes,,244102061,SRR,,4/20/2019,,NB39,Nestling,,,Yes ,,17.4,not taken,,011016D3B8,,,,,,,
,2019,,Yes,,244102053,SRS,,4/20/2019,,NB13,Adult,,,Yes,,-,-,,011016D0D2,,,,,,,
,2019,,Yes,,244102063,SSO,,4/20/2019,,NB39,Nestling,,,Yes ,,14.2,not taken,,011016D01F,,,,,,,
,2019,,Yes,,244102054,SWL,,4/20/2019,,NB8,Adult,,,Yes,,-,-,,011016E5BE,,,,,,,
,2019,,Yes,,244102062,SYL,,4/20/2019,,NB39,Nestling,,,Yes ,,16.9,not taken,,011016D5C0,,,,,,,
,2019,,Yes,,244102055,YBG,,4/20/2019,,NB52,Adult,,,Yes,,-,-,,01103F856E,,,,,,,
,2019,,Yes,,244102057,YYG,,4/20/2019,,NB65,Adult (second year),,,Yes,,-,-,,01103F4D16,,,,,,,
,2019,,Yes,,244102064,YLO,,4/22/2019,,NB52,Nestling,,,Yes,,18,not taken,,01103F570F,,,,,,,
,2019,,Yes,,244102068,YLR,,4/22/2019,,NB52,Nestling,,,Yes,,16.6,not taken,,01103F6D90,,,,,,,
,2019,,Yes,,244102066,YRB,,4/22/2019,,NB52,Nestling,,,Yes,,17,not taken,,011016B902,,,,,,,
,2019,,Yes,,244102069,YTO,,4/22/2019,,NB52,Nestling,,,Yes,,16,not taken,,01103F581B,,,,,,,
,2019,,Yes,,244102070,YWO,,4/22/2019,,NB52,Nestling,,,Yes,,17.3,not taken,,011016CC3B,,,,,,,
,2019,,Yes,,244102065,YYB,,4/22/2019,,NB52,Nestling,,,Yes,,17.2,not taken,,011016BF3D,,,,,,,
,2019,,Yes,,244102067,YYO,,4/22/2019,,NB52,Nestling,,,Yes,,17.1,not taken,,011016DEE3,,,,,,,
,2019,,Yes,,244102071,YBS,,4/23/2019,,NB8,Adult (second year),,,Yes,,-,-,,01103F8004,,,,,,,
,2019,,Yes,,244102075,YTG,,4/23/2019,,NB13,Adult (second year),,,Yes,,-,-,,01103F5BBC,,,,,,,
,2019,,Yes,,244102077,SPP,,5/4/2019,,NB14,Nestling,,,Yes,,15.8,not taken,,011016E05D,,,,,,,
,2019,,Yes,,244102074,SSB,,5/4/2019,,NB14,Nestling,,,Yes,,15.3,not taken,,011016C1AC,,,,,,,
,2019,,Yes,,244102072,STT,,5/4/2019,,NB14,Nestling,,,Yes,,12.8,not taken,,011016F8C3,,,,,,,
,2019,,*,,258115491,YOY,,5/7/2019,,NB14,Adult (second year),,,No*,,-,-,,011016CDA2,,,,,,,
,2019,,Yes,,244102017,SPB,,5/8/2019,,NB21,Adult (second year),,,Yes,,-,-,,011016AB29,,,,,,,
,2019,,Yes,,244102083,SPL,,6/14/2019,,NB13,Nestling,,,Yes,,16.5*,not taken,,01103FBCA2,,,,,,,
