"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"RPP","RTT",5,10,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","SDO",1,11,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","SDO",2,11,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","SDO",1,11,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","SDO",3,11,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","SDO",4,11,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","SDO",5,11,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","SDO",4,11,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","SDO",6,11,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","SDO",7,11,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","SDO",8,11,FALSE,"Spring 2026 Nesting Period_Communities"
"ROO","SDO",9,11,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","SDO",5,11,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","SDO",10,11,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","SGB",1,8,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","SGB",2,8,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","SGB",1,8,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","SGB",3,8,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","SGB",4,8,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","SGB",5,8,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","SGB",4,8,FALSE,"Spring 2026 Nesting Period_Communities"
"PLS","SGB",6,8,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","SGB",7,8,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","SGB",8,8,TRUE,"Spring 2026 Nesting Period_Communities"
"ROO","SGB",9,8,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","SGB",5,8,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","SGB",10,8,FALSE,"Spring 2026 Nesting Period_Communities"
"SDO","SGB",11,8,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","STT",1,8,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","STT",2,8,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","STT",1,8,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","STT",3,8,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","STT",4,8,FALSE,"Spring 2026 Nesting Period_Communities"
