"Age","mean_range","sd_range","n"
"AHY",2.07692307692308,1.11516355015296,13
"ASY",2.4,0.547722557505166,5
"HY",1.875,1.19099885007063,24
"Nestling",1.92857142857143,0.662686531592003,28
