"tag","feeder","DateTime","Color_Combo","Sex","Age","time_diff","new_event","Event_ID"
"3B00181EC1","A",2025-09-27 12:20:33,"RRY",NA,"HY",1,0,3
"3B00181EC1","A",2025-09-27 12:21:51,"RRY",NA,"HY",78,0,3
"3B00181EC1","A",2025-09-27 12:21:52,"RRY",NA,"HY",1,0,3
"3B00181EC1","A",2025-09-27 12:21:53,"RRY",NA,"HY",1,0,3
"3B0018F001","A",2025-09-27 12:22:03,"SDO","M","HY",10,0,3
"3B0018F001","A",2025-09-27 12:22:04,"SDO","M","HY",1,0,3
"3B0018F001","A",2025-09-27 12:22:06,"SDO","M","HY",2,0,3
"3B00181EC1","A",2025-09-27 12:23:24,"RRY",NA,"HY",78,0,3
"3B00181EC1","A",2025-09-27 12:23:25,"RRY",NA,"HY",1,0,3
"3B00181EC1","A",2025-09-27 12:23:26,"RRY",NA,"HY",1,0,3
"3B00181EC1","A",2025-09-27 12:23:27,"RRY",NA,"HY",1,0,3
"3B00181EC1","A",2025-09-27 12:23:28,"RRY",NA,"HY",1,0,3
"3B00181EC1","A",2025-09-27 12:23:29,"RRY",NA,"HY",1,0,3
"3B00181EC1","A",2025-09-27 12:23:30,"RRY",NA,"HY",1,0,3
"3B00199599","A",2025-09-27 12:23:42,"RRD","F","AHY",12,0,3
"3B00199599","A",2025-09-27 12:23:43,"RRD","F","AHY",1,0,3
"3B001923F9","A",2025-09-27 12:23:57,"RRR",NA,"HY",14,0,3
"3B001923F9","A",2025-09-27 12:23:59,"RRR",NA,"HY",2,0,3
"3B001923F9","A",2025-09-27 12:24:00,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:24:01,"RRR",NA,"HY",1,0,3
"3B00199599","A",2025-09-27 12:24:13,"RRD","F","AHY",12,0,3
"3B00199599","A",2025-09-27 12:24:14,"RRD","F","AHY",1,0,3
"3B00181EC1","A",2025-09-27 12:24:50,"RRY",NA,"HY",36,0,3
"3B001923F9","A",2025-09-27 12:25:17,"RRR",NA,"HY",27,0,3
"3B001923F9","A",2025-09-27 12:25:18,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:25:19,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:25:20,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:25:21,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:25:22,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:25:24,"RRR",NA,"HY",2,0,3
"3B001923F9","A",2025-09-27 12:25:25,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:25:26,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:25:27,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:25:28,"RRR",NA,"HY",1,0,3
"3B001923F9","A",2025-09-27 12:25:29,"RRR",NA,"HY",1,0,3
"3B00181EC1","A",2025-09-27 12:25:32,"RRY",NA,"HY",3,0,3
"3B0018F001","A",2025-09-27 12:26:58,"SDO","M","HY",86,0,3
"3B0018F001","A",2025-09-27 12:26:59,"SDO","M","HY",1,0,3
"3B0018F001","A",2025-09-27 12:27:00,"SDO","M","HY",1,0,3
"3B00181EC1","A",2025-09-27 12:27:16,"RRY",NA,"HY",16,0,3
"3B00181EC1","A",2025-09-27 12:27:17,"RRY",NA,"HY",1,0,3
"3B00181EC1","A",2025-09-27 12:27:18,"RRY",NA,"HY",1,0,3
"3B00181EC1","A",2025-09-27 12:27:19,"RRY",NA,"HY",1,0,3
"3B00181EC1","A",2025-09-27 12:27:20,"RRY",NA,"HY",1,0,3
"3B00199599","A",2025-09-27 12:27:33,"RRD","F","AHY",13,0,3
"3B00199599","A",2025-09-27 12:27:34,"RRD","F","AHY",1,0,3
"3B00199599","A",2025-09-27 12:27:35,"RRD","F","AHY",1,0,3
"3B00199599","A",2025-09-27 12:27:36,"RRD","F","AHY",1,0,3
"3B00199599","A",2025-09-27 12:27:37,"RRD","F","AHY",1,0,3
"3B0018F001","A",2025-09-27 12:27:55,"SDO","M","HY",18,0,3
"3B0018F001","A",2025-09-27 12:27:56,"SDO","M","HY",1,0,3
"3B0018F001","A",2025-09-27 12:27:57,"SDO","M","HY",1,0,3
"3B0018F001","A",2025-09-27 12:27:58,"SDO","M","HY",1,0,3
"3B0018F001","A",2025-09-27 12:27:59,"SDO","M","HY",1,0,3
"3B00181EC1","A",2025-09-27 12:41:37,"RRY",NA,"HY",818,1,4
"3B00181EC1","A",2025-09-27 12:41:38,"RRY",NA,"HY",1,0,4
"3B00181EC1","A",2025-09-27 12:41:39,"RRY",NA,"HY",1,0,4
"3B00181EC1","A",2025-09-27 12:41:40,"RRY",NA,"HY",1,0,4
"3B00181EC1","A",2025-09-27 12:41:41,"RRY",NA,"HY",1,0,4
"3B00181EC1","A",2025-09-27 12:41:42,"RRY",NA,"HY",1,0,4
"3B00181EC1","A",2025-09-27 12:41:43,"RRY",NA,"HY",1,0,4
"3B00181EC1","A",2025-09-27 12:43:23,"RRY",NA,"HY",100,0,4
"3B00181EC1","A",2025-09-27 12:43:24,"RRY",NA,"HY",1,0,4
"3B0018F001","A",2025-09-27 17:18:08,"SDO","M","HY",16484,1,5
"3B0018F001","A",2025-09-27 17:18:09,"SDO","M","HY",1,0,5
"3B001923F9","A",2025-09-27 17:18:13,"RRR",NA,"HY",4,0,5
"3B001923F9","A",2025-09-27 17:18:14,"RRR",NA,"HY",1,0,5
"3B00199599","A",2025-09-27 17:19:00,"RRD","F","AHY",46,0,5
"3B00199599","A",2025-09-27 17:19:01,"RRD","F","AHY",1,0,5
"3B001923F9","A",2025-09-27 17:19:04,"RRR",NA,"HY",3,0,5
"3B001923F9","A",2025-09-27 17:19:05,"RRR",NA,"HY",1,0,5
"3B001923F9","A",2025-09-27 17:19:06,"RRR",NA,"HY",1,0,5
"3B001923F9","A",2025-09-27 17:19:07,"RRR",NA,"HY",1,0,5
"3B001923F9","A",2025-09-27 17:19:08,"RRR",NA,"HY",1,0,5
"3B001923F9","A",2025-09-27 17:19:09,"RRR",NA,"HY",1,0,5
"3B001923F9","A",2025-09-27 17:19:10,"RRR",NA,"HY",1,0,5
"3B001923F9","A",2025-09-27 17:19:11,"RRR",NA,"HY",1,0,5
"3B001923F9","A",2025-09-27 17:20:17,"RRR",NA,"HY",66,0,5
"3B001923F9","A",2025-09-27 17:20:18,"RRR",NA,"HY",1,0,5
"3B001923F9","A",2025-09-27 17:20:19,"RRR",NA,"HY",1,0,5
"3B001923F9","A",2025-09-27 17:20:20,"RRR",NA,"HY",1,0,5
"3B0018F001","A",2025-09-27 17:20:44,"SDO","M","HY",24,0,5
"3B0018F001","A",2025-09-27 17:20:45,"SDO","M","HY",1,0,5
"3B0018F001","A",2025-09-27 17:20:46,"SDO","M","HY",1,0,5
"3B001895C2","A",2025-09-28 07:41:25,"SWT",NA,"HY",51639,1,6
"3B001895C2","A",2025-09-28 07:42:40,"SWT",NA,"HY",75,0,6
"3B001895C2","A",2025-09-28 07:43:35,"SWT",NA,"HY",55,0,6
"3B001895C2","A",2025-09-28 07:45:38,"SWT",NA,"HY",123,1,7
"3B001895C2","A",2025-09-28 07:45:39,"SWT",NA,"HY",1,0,7
"3B001895C2","A",2025-09-28 07:48:07,"SWT",NA,"HY",148,1,8
"3B001895C2","A",2025-09-28 07:48:08,"SWT",NA,"HY",1,0,8
"3B001895C2","A",2025-09-28 07:48:09,"SWT",NA,"HY",1,0,8
"3B001895C2","A",2025-09-28 07:48:10,"SWT",NA,"HY",1,0,8
"3B001895C2","A",2025-09-28 07:48:13,"SWT",NA,"HY",3,0,8
"3B0018F001","A",2025-09-28 08:57:01,"SDO","M","HY",4128,1,9
"3B00181EC1","A",2025-09-28 08:57:06,"RRY",NA,"HY",5,0,9
"3B00199599","A",2025-09-28 08:57:28,"RRD","F","AHY",22,0,9
"3B00199599","A",2025-09-28 08:57:29,"RRD","F","AHY",1,0,9
"3B00181EC1","A",2025-09-28 08:57:42,"RRY",NA,"HY",13,0,9
"3B001923F9","A",2025-09-28 08:57:49,"RRR",NA,"HY",7,0,9
"3B001923F9","A",2025-09-28 08:57:50,"RRR",NA,"HY",1,0,9
