"Bird","x","y"
"CRY",3.47868660875142,-1.21858663615395
"GBO (was GPT)",3.97056677005525,0.353978565251066
"GDO",5.37893727870751,-0.221802401443704
"GNT",1.32562325079573,-9.74417538504728
"GOS",7.08595215137424,-2.10262789110863
"PBP (was PBB)",9.7487001145951,-1.92404336435953
"PBS",4.15971511655847,-3.09825074994812
"PBWorPWB",6.5336436925299,-3.66029674312935
"PLS",5.74140496819856,-6.55688692693576
"PND",8.2237066652122,0.178694295757633
"PNL",8.75372060492295,-1.26272325573145
"PNW",1.05043175741607,-3.58645248464178
"RBP",7.86905397839824,-7.36461198188161
"RBT",10.0264835768971,-5.05618612405733
"RGT",5.2658089362344,-8.82028598561553
"ROR",4.24303500595084,-7.46210052305028
"ROY",4.93097282368315,-4.78264319184254
"RRD",0.132611750656501,-6.88745759979137
"RRR",-1.51471208529506,-5.91742477515025
"RRY",0.934779055301649,-5.64296523136169
"RSD",7.88035728873623,-9.05165608830782
"RTP",2.86566252612345,-10.2785736634467
"SDO",-1.15446098655991,-7.28723425652278
"SGB",4.17899108110178,-9.70454576392551
"SOG",2.26501070645415,-2.43988565433281
"SOT",-0.859000418494251,-1.31849417288098
"SRP",1.18859968002463,-8.295498034261
"STT",5.04068715527124,-10.4737676192163
"SWB",8.28356068008014,-3.11634121926752
"SWS",9.04740582274067,-8.04464139370796
"SYO",10.0887083398052,-3.55528663185837
"SYR",8.86113936017574,-4.46010869151003
"SYT",6.70915370667779,-8.03311886791713
"WBO",3.67027616172382,-5.93225105186649
"WBT",7.05051556032829,-5.23662035069078
"WDN",2.74380034444836,-8.61344795108967
"WDW",-0.13866109931847,-8.72390624759497
"WOG",-1.90014913779626,-4.2762337605447
"WSY",-1.72114060863451,-2.62307389760652
"WWB",2.45385830930912,1.056091034026
"WWD",2.12926399005354,-7.01455563684596
"YBN",-0.566179808833516,-3.28576490403166
"YDP",0.611059680515902,-1.86276099751736
"YDT",0.00445729554971278,-0.139843758673258
"YDW",3.72585513168091,1.77552802175828
"YGD",5.30244184092569,1.44526613301947
"YGY",5.27685648273679,-1.82227267665187
"YPS",8.28309401675715,-6.04193511101555
"YPW",6.40284961467547,-9.9578228099948
"YWD",9.8126834075903,-6.54580984478567
"YWS",1.78139781857936,-0.615714880177418
"YYN (was YNO)",6.88568867793469,-0.59459408631232
"GDD (was GDR)",2.69535958287853,-4.38916712509365
"GDW (wasGYW)",1.1464952856152,0.825965143478095
"SWT",-0.386687209332985,-4.9075463695274
"YND",6.79984592965614,1.00334877204229
"GDN (was GDY)",18.953075532311,-0.549938830632051
"GNG",14.2785052681216,-4.98058387631031
"PDN",-1.12864333886927,-11.7925341449463
"ROO",0.183958343063022,-4.12384108475915
"RPP",-2.78159197310512,-14.9539501401619
"RTT",-5.79103865369827,5.20147756680453
"WDB",4.33570631437097,5.35854323432432
"WNS",12.3586409190212,0.374235288841508
"WPG",-5.42051774518376,-2.47273914096585
"WYD",14.3040807730584,-5.62822939707323
"YGP",1.24171746050974,-11.6859678739897
"YOD",-5.70856350921912,-0.837556424606882
"YPN",14.8977795027959,4.06071505441307
"YSR",0.80970655256453,-6.70867858308429
"GPB",-1.56617534411448,-8.67394689793372
"GPR",8.31687158591667,4.137159771007
"GPW",16.094806647696,-2.45808091238477
"GSN",0.323547581675824,-14.9842963585429
"GTP",-3.06770211660526,1.7569581704822
"NRO",5.77621786177437,2.68048857297708
"NSS",11.688141304655,4.70101297097014
"RNO",13.3385974422525,-8.68551100272201
"ROW",-1.29702733060532,0.570824076336958
"SDR",-4.49929436536181,-10.9548082128699
"SDT",6.61885193534561,-4.64749302992848
"SNR (was SNO)",10.4965196604513,-11.6722954140351
"SPT",-1.00430096906263,4.36734672920703
"SPW",-5.89673918048737,-6.03515232732549
"SSS",-7.50233147626418,1.87117285182968
"WDD",4.26546653577297,-14.3480691821262
"WDY",5.32224955486545,9.23483975473455
"WNP",-7.31471944593342,5.2839540910165
"WPB",0.593958422254046,7.47955934744299
"WPD",-0.787052956667732,-13.2892679054667
"WPS",10.2591725809411,-9.65239884273488
"YRP",7.70993980028682,-12.8949080720361
"RDO",-8.00173614997846,-9.1906065148587
