Nestbox,"PAIRS, first round",,,"PAIRS, second round",,,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"color, metal","color, metal",,"color, metal","color, metal","color, metal",2/22,2/23,2/24,2/25,2/26,2/27,2/28,3/1,3/2,3/3,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,3/12,3/13,3/14,3/15,3/16,3/17,3/18,3/19,3/20,3/21,3/22,3/23,3/24,3/25,3/26,3/27,3/28,3/29,3/30,3/31,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30,5/1,5/2,5/3,5/4,5/5,5/6,5/7,5/8,5/9,5/10,5/11,5/12,5/13,5/14,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,5/27,5/28,5/29,5/30,5/31,6/1,6/2,6/3,6/4,6/5,6/6,6/7,6/8,6/9,6/10,6/11,6/12,6/13,6/14,6/15,6/16,6/17,6/18,6/19,6/20,6/21,6/22,6/23,6/24,6/25,6/26,6/27,6/28,6/29,6/30,7/1,7/2,7/3,7/4,7/5,7/6,7/7,7/8,7/9,7/10,7/11,7/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,E,W/R,W/R,E,,,,,W/R,,,E,,,,,,,E,,,,,,,E,,,W/R,,,,W/R,,,W/R,,,,,,,W/R,,,,W/R,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,,W/R,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,YYB,GRG,5/22 2 Unbanded,,E,E,E,E,,,,,,,,(6),,,,,,,(6),,,,,,,6,,,6,,,,6,,,5,6,,0,,,,O,,,,OLD,,,W/R,,,,,,,(4),,,,,,,O,,(6),,,(6),,(4)2,,,,,,5,,4,,,,0,,O,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,E,W/R,W/R,E,,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,W/R,,,,E,,,E,,,,,,,E,,,,E,,,I,,,,,,,U,,,,,,,O,,,,,,,L,,,,,,,,U,,,,,,U,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UNB 90%,,,,E,E,E,E,,,,,,,,U-O,,,,,,,(5),,,,,,,(6),,,(6),,,,(3)3,,,(3)3,,,,,,,3,,,,3,,,RFID,,,,,,,OLD,,,,,,,O,,,,,,,(5),,,,,,,,1 ,,,,,O,O,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,E,E,E,E,,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,E,,,,W/R,,,? (Unsure if titmouse or wren),.,,,,,,?(unsure if wren or titmouse),.,,,OLD,,,(2) (not sure if titmouse,.,,,F/O(6),.,,F/O,,,,,,,F/O,,,,,,,F/O,,,,,,,,F/O,,,,,F/R,E,,F/R,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PBO,PBT,,,E,E,W/R,E,,,,,,,,(5),,,,,,,(5),,,,,,,(3) 1,,,(3) 1,,,,(3)1,,,(3)1,1,,,,,,O,,,,OLD,,,O,,,,,,,(3),,,,,,,W/R,,,,,,,(4),,,,,,,,(4),,,,,,(1) 3,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CBW,?UNB 50%,,,E,E,E,E,,,,,,,,(6),,,,,,,(6),,,,,,,6,,,6,,,,6,,,O,6,,,,,,O,,,,*OLD and very small egg,.,,(4),,,,O(6),,,(6),,,,,,,(6),,,,,,,W/O,,,,,,,,W/O,,,,,,W/R,,,,,,,W/O?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,E,E,E,E,,,,,,,,"(6)1 BROKE, EGGS WERE COLD",.,,,,,,(5),,,,,,,(3),,,(5),,,,(5),,,(5),,,,,,,(5),,,,"*abandonded nest, threw away 5 eggs",.,,G,,,,,,,U,,,,,,,O,,,,,,,U,,,,,,,,U,,,,,,O,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,E,E,W/R,E,,,,,"W/R (only removed top part of nest that was a wren nest . I left the lower titmouse nest, which was short U ",.,,U,,,,,,,U,,,,,,,U,,,O,,,,U,,,U,,,,,,,U,,,,(1)*unsure if titmouse nest,.,,(4),,,,W,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,W/O,,,,,,W/O,,,,,,,(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,I,I,I,I,,,,,W/R,,,E,,,,,,,E,,,,,,,E,,,G,,,,G,,,G,,,,,,,G,,,,W/R,,,W/R,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,(8) ,,,,,W/O,(9),,W/O,,,,,?/O (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,UNB,SNO,,,I,E,E,I,,,,,,,,(6),,,,,,,(6),,,,,,,6,,,6,,,,U,,,U,,,,,,,U,,,,O,,,G,,,,,,,W/R,,,,,,,E,,,,,,,W/R,,,,,,,,E,,,,,,W/R,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
