Nestbox,"PAIRS, first round",,,"PAIRS, second round",,,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SST,,,,E,E,E,E,,,,,,,,(6),,,,,,,(1) 5-this was changed from original by TGM,.,,,,,,7,,,6,,,,5,,,"RFID did not collect data. Tuned on  today, which is too late, I suspect",.,,,,,,O removed RFID,.,,,O,,,OLD,,,,,,,?,,,,,,,O,,,,,,,W/R,,,,,,,,E,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,UNB 99%,UNB 60%,,,E,E,E,E,,,,,,,,L,,,,,,,L,,,,,,,L,,,U,,,,U,,,,,,,,,,(5),,,,(5),,,"*parent on nest, not checked",.,,,6,,,O,,,,,,,O,,5,,,,,,,,,,,,,O (OLD?),,,,,,OLD,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Juv: GYG 10m from nest 06/12/23 tgm,GRS,,,E,E,E,E,,,,,,,,W/R,,,,,,,E,,,,,,,I,,,E,,,,L,,,,,,,,,,L,,,,W/R,,,L,,,,,,,(2),,,,,,,-,,(6),,,,,(6),,,,,,5,,5,,,,,,5,,,,,,,RFID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,E,E,E,E,,,,,,,,L-U,,,,,,,L/U,,,,,,,L,,,U,,,,L,,,,,,,,,,(1),,,,(1),,,L,,,,,,,(1),,,,,,,O,,(1),,,,,(1),,,,,,,,L(1),,,,,,(1)  ,,,,,,,W/O?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,E,E,W/R,E,,,,,,,,(3),,,,,,,(1) AND 2 WREN EGGS,.,,,,,,W/O 2 wren nestlings 1 titmouse egg,.,,(1)2,,,,W/O (1 titmouse egg)2 wren nestlings,.,,,,,,,,,(1),,,,(1),,,G,,,,,,,G,,,,,,,O,,,,,,,W/O,,,,,,,,W/R,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,E,E,E,E,,,,,,,,(6),,,,,,,(6),,,,,,,(1)5,,,(1)5,,,,(1)5,,,,,,5,,,,"*removed RFID (shit. birds present this morning. BUT in afternoon there was no feeding by parents, so checked with camera... and there were no nestlings. Looks  force fledged today. After Uriel's nest check this morning)",.,,,O,,,L,,,,,,,L,,,,,,,O,,,,,,,OLD,,,,,,,,E,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,E,E,E,E,,,,,,,,E,,,,,,,E,,,,,,,E,,,G,,,,G,,,,,,,,,,G,,,,E,,,E,,,,,,,L,,,,,,,O,,,,,,,(5),,,,,,,,5 ,,,,,,5,,,,,,,RFID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,E,E,E,E,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,L,,,,,,,,,,W/R,,,,E,,,G,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,,E,,,,,,E,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,?S?,,,,E,E,E,E,,,,,,,,I,,,,,,,U,,,,,,,(2),,,,,,,(6),,,,,,,,,,6,,,,5,,,4,,,,,,,replace RFID batteries (4),.,,,,,,,,,,,,,OLD,,,,,,,,OLD,,,,,,U,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,COR (90%tm),.,,,E,,E,E,,,,,,,,(6),,,,,,,(6),,,,,,,(6),,,,,,,(4)1,,,,,,,,,,1,,,,OLD,,,,,,,U,,,U,,,,,,,O,,,,,,,W/R,,,,,,,,E,,,,,,W/R,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CRT (99%tm),CTS(90%tm),,,E,,W/R,E,,,,,,,,U,,,,,,,(11),,,,,,,"[not checked, parent didnt leave nest]",.,,,,,,,,,,,,5(2),,,,5(1),O,,,5,,,,,,,,,,OLD,,,,,,,O,,,,,,,W?,,,,,,,,W/R,,,,,,U,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,E,E,E,E,,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,E,,,,W/R,,,W/R,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,,E,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,E,I,I,E,,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,E,,,,,,,,,,E,,,,G,,,E,,,,,,,E,,,,,,,W,,,,,,,W/O,,,,,,,,W/O,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,E,E,I,E,,,,,,,,(5),,,,,,,(2) 3,,,,,,,4,,,,,,,4,,,"RFID did not collect data. Tuned on  today, which is too late, I suspect",.,,,,,,OLD removed RFID,.,,,OLD,,,OLD,,,,,,,G,,,,,,,O,,,,,,,O,,,,,,,,OLD,,,,,,W/R,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,RBB,,,,E,E,W/R,E,,,,,,,,W/O,,,,,,,W/O,,,W/O,,,,W/O,,,W/O,,,,W/O ,,,W/O,,,,,,,E,E,,,W/R,,,G,,,,,,,E,,,,,,,O,,,,,,,(5),,,,,,,(5),,,,,,,.5,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,L,E,E,E,E,,,,,,,,E,,,,,,,E,,,E,,,,E,,,W/R,,,,E,,,W/O,,,,,,,E,G,,,W/R,,,W/R,,,,,,,(4),,,,,,,W,,,,,,,W/O,,,,,,,W/O,,,,,,,1,,W/O,,,,,(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,E,E,W/R,W/R,E,,,,,,,,W/O,,,,,,,W/O,,,W/O,,,,W/O,,,W/O(1)5,.,,,W/O ,,,E,,,,,,,E,,,,W/R,,,*Nest build illegible 'Nest already removed',.,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,.,,E,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,RBB,,,E,E,E,W/R,E,,,,,,,,W/O,,,,,,,(6),,,(6),,,,(6),,,(6),,,,(1)5,,,(1)5,,,,,,,4,,,,,,,,,,,,,,E,,,,,,,O,,,,,,,W/O,,,,,,,W?,,,,,,,.,,W/R,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GBB,UNB 99%,,E,I,E,E,I,,,,,,,,W/O,,,,,,,(4),,,W/3 (misID'd as wren on sheet?),.,,,4,,,4,,,,4,,,4,4,,,,,,E,,,,W/R,,,W/R,,,,,,,(4),,,,,,,(4),,,,,,,(2),,,,,,,4,,,,,,4,.,,RFID,,,,,RFID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,R,E,E,E,E,,,,,,,,E,,,,,,,E,,,E,,,,E,,,E,,,,G,,,E,,,,,,,E,,,,G,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,.,,E,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,R,E,I,E,E,,,,,,,,W/O,,,,,,,W/O,,,W/O,,,,W/O,,,W/O 7,,,,W/O ,,,W/O,,,,,,,E,,,,G,,,G,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,.,,G,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,E,E,E,E,E,,,,,,,,(5),,,,,,,O,,,(1)4,,,,(1) 4,,,(1)4,,,,4,4,,4,,,,,,,E,,,,G,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,.,,G,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,R,E,E,E,E,,,,,,,,(5),,,,,,,(5),,,(5),,,,4,,,4,,,,4,,,4,,,4,,,,,,,,OLD,,,E,,,,,,,O,,,,,,,O,,,,,,,O,,,,,,,OLD,,,,,,,.,,U,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,W/R,E,E,W/R,E,,,,,,,,E,,,,,,,,,,E,,,,E,,,E,,,,G,,,E,,,,,,,E,,,,G,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,.,,G,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,E,E,E,W/R,E,,,,,,,,W/O,,,,,,,,,,(6),,,,6,,,5,,,,6,,,6(processed only 4 today),5,,,,,,,,,,OLD,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,.,,G,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,E,E,E,,,,,,,,,U,,,,,,,,,,C/O [Chickadee flew out of nest],.,,,(6),,,(5),,,,C/O [chickadee babies],.,,6,,,,,,,6,C/O,,,C/O,,,1 *5 birds flew out of nest,.,,,,,,O,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,.,,G,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,OLD/R,E,I,E,E,,,,,,,,E,,,,,,,,,,E,,,,E,,,E,,,,G,,,E,,,,,,,E,,,,W/R,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,.,,E,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,E,E,E,,,,,,,,,E,,,,,,,,,,E,,,,E,,,E,,,,E,,,E,,,,,,,E,,,,G,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,.,,E,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,E,E,W/R,,,,,,,,,W/O,,,,,,,,,,W/O,,,,W/O,,,W/O (6),.,,,,,,W/O,,,,,,,5 or 6,W/R,,,E,,,W/R,,,,,,,(5),,,,,,,W/C,,,,,,,O? (7),,,,,,,W?,,,,,,,.,,W/O,,,,,O (prob W/O),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,E,E,W/R,,,,,,,,,(7),,,,,,,,,,7,,,,2,,,-2 deceased,.,,,,,,E,,,,,,,E,,,,O,,,G,,,,,,,O,,,,,,,O,,,,,,,O,,,,,,,OLD,,,,,,,O,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SSO,GBT,SWR possible misnomer of sso,,E,E,I,,,,,,,,,(6),,,,,,,,,,4,,,,5,,,5,,,,(1)5,5,,5,,,,,,,(1)*egg was cold,.,,,(1),,,G,,,,,,,(4),,,,,,,(4),,,,,,,4,,,,,,,4 ,,,,,4,,.,,,,,,,RFID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,OLD/R,E,I,E,,,,,,,,,E,,,,,,,W/R,,,E,,,,E,,,,,,,W/R,,,E,,,,,,,E,,,,E,,,?/R,,,,,,,W/O,,,,,,,W/C,,,,,,,W/O,,,,,,,W,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,OLD/R,E,E,W/R,E,,,,,,,,W/O,,,,,,,W/O,,,"W/O (volunteer marked as O species, nest bld O, 7 eggs?)",.,,,W/O,,,,,,,W/O,,,W/O,,,,,,,W/O,,,,W/O,,,W/O (old?),.,,,,,,W/O,,,,,,,W,,,,,,,W/R,,,,,,,E,,,,,,,.,,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,OLD/R,E,W/R,W/R,E,,,,,,,,(5),,,,,,,(4),,,(4),,,,(4),,,,,,,4,,,4,,,,,,,4,,,,,,,OLD,,,,,,,W/R,,,,,,,OLD,,OLD,,,,,OLD,,,,,,,O,,,,,,,OLD,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,UNB 99%,,,E,W/R,W/R,E,W/R,,,,,,,,W/R,,,,,,,U,,,(2),.,,,(6),,,,,,,(6),,,(6),,,,,,,6,,,,6,,,6,,,6,bled two of chicks today,.,,,,,,,,,,,OLD,,,,,OLD,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,E,E,E,E,E,,,,,,,,W/R,,,,,,,E,,,E,,,,E,,,,,,,E,,,E,,,,,,,E,,,,E,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,E,E,E,W/R,E,,,,,,,,W/R,,,,,,,,,,E,,,,E,,,,,,,E,,,E,,,,,,,E,,,,E,,,E,,,,,,,E,,,,,,,W/O,,,,,,,W/O,,,,,,,W,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,GRN,,E,E,W/R,W/R,E,,,,,,,,(6),,,,,,,(5),,,4,,,,5,,,,,,,3,,,5,5,,,,,,O,,,,,,,L,,,,,,,(4),,,,,,,(5),,,,,,,(2) 3,,,,,,4,(1) 4 (P),,,,,4,,.,,,,,,,RFID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
