11,"PAIRS, first round",,,"PAIRS, second round",,,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,.,.,.,.,.,.,,,,,,,,,,,,,,,I,,,G,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,G,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,W/R,,,,,,,G,,,,,,,G,,,,,,,W/R,,,,,,,G,,,,,,,G,,,,,,,,W/R,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,E,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,G,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,E,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,W/R,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38A,SPY+ (18Jun26),.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,,G,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,W/R,,,,,,,(3),,,,,,,(5),,,,,,,,,(2)3,,,,(2)3,,3(2*),,,,,,nestlings eaten by snake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38B (old: 95) DNE?,RPS+(10May26),?,.,.,.,.,,,,,,,,,,,,,,,W/R,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,C,,,,,,,(3),,,,(6),,,,(6),,,(6),,,(6),,,,,,,6,,,,6,,,6,,,,,OLD,,,,,,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,E,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,GPW+(10May26),?,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,W/R,,,,,,,E,,,,,,,I,,,,,,,C,,,,,,,(2),,,,(5),,,,(5),,,(5),,,(5),,,,,,,4(1),,,,4(1*),,,2 (babies noted as cold and barely moving),,,,,2*,,G,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,W/R,,,,,,,W/TM wren nest had beginnings of a TM on top,,,,W/TM,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,GPY+ (04jun2026),UNB* (HY 10jun2026),SPO+ (12jun26),.,.,.,,,,,,,,,,,,,,,I,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,,E,,,,,,E,,,,,,,W/R,,,,,,,W/O,,,,,,,W/O,,,,,"(6) labeled as wren, and looks wren-y, but a titmouse flew out didn't see bands though ",,(6),,,,,,,5(1),5(1*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,W/R,,,,,,,W/R,,,,E,,,E,,,,E,,,E,,,,,,,E,,,,,,,E,,,,G,,,,G,,,W/R,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,G,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,W/R,,,,,,,E,,,,W/R,,,W/R,,,,G,,,G,,,,,,,E,,,,,,,E,,,,G,,,,G,,,E,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,G,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,.,.,.,.,.,.,,,,,,,,,,,,,,,I,,,E,,,,,,,L,,,,U,,,C,,,,U,,,C,,,U,,,,U,,,,,,,C,U,,,C,,,,C,,,,,,C,,,,,,,C,,,,,,,U,,,,,,,C,,,C,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,W/R,,,,E,,,W/R,,,,G,,,G,,,G,,,,E,,,,,,,E,,,,G,,,,E,,,G,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,G,,,,E,,,,,,,W/? a bit of moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,.,.,.,.,.,.,,,,,,,,,,,,,,,I,,,E,,,,,,,E,,,,G,,,E,,,,G,,,G,,,G,,,,E,,,,,,,E,,,,E,,,,G,,,E,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,E,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,E,,,,,,,W/R,,,,E,,,E,,,,G,,,G,,,G,,,,E,,,,,,,E,,,,G,,,,G,,,L,,,G,,,,,,,G,,,,,,,W/R,,,,,,,E,,,G,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,G,,,,,,E,,,,,,,W/R,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,E,,,,,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,,E,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,G,,,,,,,W/R,,,,,,,G,,,,,,,W/O,,,,,,,W/O,,,,,,,,W/O,,,,,,W/O,,,,,,,? I,,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,ROS+ (26Apr2026),WTP+ (29Apr26),.,.,.,.,,,,,,,,,,,,,,,?,,,E,,,,,,,E,,,,,,,?/O,,,,,,,(2),,,,,,,(6),,,,,,,(5),(5),,,,,,,4(1) egg partially open,,,4(1*),,,4,,,,needsed pit tags,,,skip,,,,,,,OLD,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,G,,,,,,,E,,,,,,,W/R,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,G,,,,,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,,G,,,,,,W/R,,,,,,,E,,,,,,,W/R,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,.,.,.,.,.,.,,,,,,,,,,,,,,,I,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,G,,,,,,,G,,,,,,,W/O,,,,,,,W/O,,,,,W/O,,W/O?,,,,,,,(2) titmouse?,,,,,,,,,(2) titmouse or wren? unclear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,W/R,,,,,,,W/R,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,E,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,"W/O (crazy, still has grass in it so hasnt been checked but wren flew out at us and there are babies)",,W/O,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,?,?,.,.,.,.,,,,,,,,,,,,,,,W/R,,,W/R,,,,,,,E,,,,,,,W/R,,,,,,,C,,,,,,,(1),,,,,,,C,(10),,,,,,,(10),,,(10),,,(10),,,,3(1*),,,3,,,,3,,,OLD (babies dead and decomposing so not collected),,.,,,3?*,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,E,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,.,.,.,.,.,.,,,,,,,,,,,,,,,L,,,G,,,,,,,I,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,I,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,G,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,,G,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,I,,,,,,,L,,,,,,,C,,,,,,,,,"F/O, really tall nest so might've been built on top of titmouse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,YNR+ (6Jun2026),STS &99% CR10jun26,.,.,.,.,,,,,,,,,,,,,,,I,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,E,,,,,,,G,,,,,,,(1),,,,,(6),,(6),,,,,,,(6),,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,YNR+ (26Apr2026),STS+ (30Apr26),.,.,.,.,,,,,,,,,,,,,,,I,,,E,,,,,,,E,,,,,,,U,,,,,,,(4),,,,,,,(7),,,,,,,(7),,,,6(1),,,,6(1),,,6(1*),,,6,,,,,,,skip,,,,,,,OLD,,,,,,,OLD,,,,,,,OLD,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,E,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,,E,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,? Wren with moss,,,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,W/R,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,G,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,E,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,G,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,.,?,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,W/R,,,,,,,E,,,,,,,C,,,,,,,(4),,,,,,,(5),,,,(5),,,,(5),,,4(1),,,4(1*),,,,,,,4,,,,,,,Skip,,,,,,,OLD,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,GPN+ (26Apr2026),SPD+,UNB,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,E,,,,,,,U,,,,,,,C,,,,,,,(6),,,,,,,(6),,,,,,,,4,,,2,,,2,,,,2,,,2,,,,,,,OLD,,,,,,,OLD,,,,,,,OLD,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,W/R,,,,,,,G,,,,,,,,E,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,G,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,E,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/R,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,G,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,,G,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,?,?,.,.,.,.,,,,,,,,,,,,,,,E,,,E,,,,,,,E,,,,,,,I,,,,,,,C,,,,,,,(4),,,,,,,(6),,,,(6),,,,C,,,(5),,,(5),,,,(5*),,,C,,,,,,,OLD,,,,,,,C,,,,,,,C,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,WYP+,GRP+,.,.,.,.,,,,,,,,,,,,,,,E,,,G,,,,,,,E,,,,,,,E,,,,,,,I,,,,,,,E,,,,,,,G,,,,,,,,E,,,,,,G,,,,,,,E,,,,,,,(5),,,,,(5),,(5),,,,,,,5,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,STP+,?,.,.,.,.,,,,,,,,,,,,,,,W/R,,,E,,,,,,,E,,,,,,,L,,,,,,,C,,,,,,,(4),,,,,,,(6),,,,,,,,6,,,6,,,6,,,,6,,,skipped,,,,,,,OLD,,,,,,,G,,,,,,,C,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,.,.,.,.,.,.,,,,,,,,,,,,,,,L,,,W/O,,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,,E,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,RDP+,WND+ (30Apr26),.,.,.,.,,,,,,,,,,,,,,,I,,,W/R,,,,,,,L,,,,,,,U,,,,,,,(3),,,,,,,(6),,,,,,,(6),,,,6,,,,6,,,6,,,6,,,,,,,skip,,,,,,,OLD,,,,,,,C,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,G,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,G,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,.,.,.,.,.,.,,,,,,,,,,,,,,,E,,,G,,,,,,,G,,,,,,,G,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,,E,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,W/R,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,.,.,.,.,.,.,,,,,,,,,,,,,,,G,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,W/R,,,,,,,G,,,,,,,G,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,W/O,,,,,,W/O,,,,,,,W/R,,,,,,,G,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,.,.,.,.,.,.,,,,,,,,,,,,,,,W/O,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,W/O,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,.,.,.,.,.,.,,,,,,,,,,,,,,,W/R,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,W/R,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
