11,"PAIRS, first round",,,"PAIRS, second round",,,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"PLS (*90% &95% cr,17Apr26)","YPS+apr22EG,SC",.,.,.,.,E,,,,,,,E,,,,,,,I,,,U,,,,U,,,U,,,,(4),,,(6),,,,(6),,,(6),,,(6),,,,6,,,,,,6,6,,,,6,,add RFIDs to 2 nestlings,6,6,,,OLD,,,OLD,,,,G,,,G,,,,,,,G,,,,,G,,G,,,G,,,,G,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PLS+ *(99% 3jun26),YPS (*3june26),.,.,.,.,E,,,,,,,E,,,,,,,E,,,E,,,,W/R,,,W/R,,,,W/R,,,W/R,,,,W/R,,,E,,,E,,,,W/R,,,,,,W/R,G,,,,E,,,,W/R,,,W/R,,,W/R,,,,E,,,C ?,,,,(1),,,(4),,,,,? (Bird would not leave nest),.,(5),,,(5),,,,(1)4,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WOG* (90%),YBN* (90%),WSY* (90%),.,.,.,E,,,,,,,W/R,,,,W/R,,,W/R,,,W/R,,,,W/R,,,E,,,,W/R,,,E,,,,I,,,G,,,G,,,,E,,,,,,G,G,,,,G,,,,E,,,E,,,E,,,,G,,,G,,,,,,,(1),,,,,? (Bird would not leave nest),.,? (parent was incubating),? (parent on nest),.,(6),,,,?,(6),,,,,,?,,,,,,,,all nestlings gone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,?,?,.,.,.,.,E,,,,,,,E,,,,,,,E,,,E,,,,E,,,E,,,,E,,,G,,,,I,,,U,,,C,,,,(3),(3),,,,,(3)* +1 broken egg found and collected,(3),,,,"F/O, (1) titmouse egg",,"(1*) titmouse egg, F/O",,F/O,,,F/O,,,W/O,,,,F/O,,,E,,,,E,,,E,,,,,G,,G,,,G,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,YDW+ (26Apr2026),WNS+ (3May26),UNB,.,.,.,E,,,,,,,E,,,,,,,W/R,,,W/R,,,,E,,,E,,,,W/R,,,I,,,,C,,,C,,,(3),,,,(6),,,,,,(6),(6),,,,(6),,,,5(1),,,5(1*),,,5,,,,5,,,skip,,,,OLD,,,OLD,,,,,OLD,,C,,,"W/R on top of titmouse, titmouse left",,,,E,,,,,,,W/R wren on titmouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,YGD*(70%),GBO+(10May26),.,.,.,.,W/R,,,,,,,W/R,,,,,,,E,,,E,,,,E,,,E,,,,E,,,E,,,,E,,,E,,,L,,,,W/R,,,,,,L,U,,,,L,,,,(5),,,(5),,,(5),,,,(5),,,5,,,,5,,,5,,,,,5,,,5,,Skip,,,,OLD,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,.,.,.,.,.,.,E,,,,,,,E,,,,,,,E,,,E,,,,E,,,E,,,,E,,,G,,,,E,,,G,,,G,,,,G,,,,,,G,G,,,,E,,,,E,,,W/R,,,E,,,,E,,,E,,,,,,,W/R,,,,,E,,E,,,G,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,.,.,.,.,.,.,E,,,,,,,E,,,,,,,G,,,E,,,,E,,,E,,,,E,,,G,,,,E,,,G,,,G,,,,E,,,,,,I,G,,,,G,,,,E,,,E,,,E,,,,G,,,G,,,,,,,E,,,,,G,,E,,,E,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,.,.,.,.,.,.,E,,,,,,,E,,,,,,,G,,,G,,,,G,,,E,,,,E,,,G,,,,E,,,E,,,G,,,,G,,,,,,G,G,,,,G,,,,G,,,G,,,G,,,,W/R,,,E,,,,,,,W/R,,,,,G,,G,,,W/R,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"YOD (&99%tgm,26Mar26,zoom camera; also RFID data (from 26Feb26 kinda supports)",ROW+,.,.,.,.,W/R,,,,,,,W/R,,,,,,,W/R,,,E,,,,U,,,C,,,,W/R*i worry that James removed titmouse nest,.,,U,(2),,,C,,,(3),,,,,,,(3),1(2),,,,,3,3,,,,3,,,,3,,,3,,,OLD,,,,G,,,G,,,,,,,G,,,,,W/R,,U,,,C,,,,L,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
