Nestbox,"PAIRS, first round",,,"PAIRS, second round",,,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,.,.,.,.,.,L,,,,,,,C/0,,,,,,,,C/O,,C/O,,,,,,,C/O,,,,C/O,,,C/O,,,,C/O,,,C/O,,,,(6),,,C/O,,,,C/O,,,C/O,,,C/O,,,,C/O,,,,C/O,,,OLD,,,U,,,,OLD,,,C/R,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,.,.,.,RWS(100%),RTW(99%),E,,,,,,,E,,,,,,,,E,,G,,,,,,,E,,,,E,,,-,,,,E,,,E,,,,G,,,G,,,,G,,,G,,,G,,,,G,,,,OLD,,,C,,,(4) cold,,,,(5),,,(5),,,,(5),,,,,,,3(1),[v],,,,,,3(1),,,3, ,,,,,,,,,,,,,,,11,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RYP(100),"RRO(99%JH,80% at box tgm) ",.,.,.,E,,,,,,,E,,,,,,,,C,,C,,,,,,,(5),,,,(5),,,(5),,,,(5),,,3(1),,,,5,,,3,,,,5,,,5,,,5 [v]; watched fledging after nest-check,.,,,OLD,,,,OLD,,,C,,,C,,,,OLD,,,OLD,,,,W/O,,,,,,,F/O,,,,,,,F/O,,,,,,,,,,,,,,,,,,,12,5,5,100.0,0,5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,YSB(100%)--but which one... observed parent had very dark and tall crest,SWN (100%),.,.,.,E,,,,,,,I,,,,,,,,I,,U,,,,,,,(2),,,,(6),,,(6),,,,(6),,,(6),,,,4(2),,,6,,,,6 trapped bird already banded,.,,6,,,6,,,,-,,,,OLD,,,C,,,G,,,,OLD,,,OLD,,,,C,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,13,6,6,100.0,0,6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RPP (100%),"GYW(99% TS,JH)",.,.,.,E,,,,,,,W/R,,,,,,,,W/R,,E,,,,,,,W/R,,,,U,,,U,,,,(2),,,(5),,,,(7),,,(6),,,,(7),,,(7),,,7,,,,7,,[v],,7 [v],,,7,,,7,.,,,1,,,OLD,,,,OLD,,,,,,,1,OLD,,,,,,E,,,,,,,,,,,,,,,,,,,14,7,7,100.0,0,7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15A,WBO(100%),SWS(90%tgm and also by TS),.,.,.,E,,,,,,,W/R,,,,,,,,C,,C,,,,,,,(2),,,,(3),,,(3),,,,(3),,,(3),,,,3,,,3,,,,3,,,3,,,3,,,,OLD,,,,OLD,,,C,,,C,,,,OLD,,,OLD,,,,OLD,,,,,,,,W/R+OLD,,,,,,G,,,,,,,,,,,,,,,,,,,15A,3,3,100.0,0,3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15B (old: 54),YGY(100%),SYR(100%),"UNB (99, KK)",.,.,E,,,,,,,W/R,,,,,,,,E,,E,,,,,,,E,,,,E,,,-,,,,W/R,,,W/R,,,,C,,,(3),,,,(9),,,(7),,,(9)(eggs cold),,,,(9),,,,(1)8,,,[v] 6; caught parent but escaped,.,,[v] 6,,,,[v] 6,,,6,,,,OLD,,,,,,,,OLD,,,,,,G,,,,,,,,,,,,,,,,,,,15B (old: 54),,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15C (old: 62),.,.,.,.,.,E,,,,,,,W/R,,,,,,,,E,,E,,,,,,,W/R,,,,W/R,,,W/R,,,,E,,,-,,,,E,,,-,,,,E,,,E,,,E,,,,E,,,,E,,,E,,,G,,,,E,,,E,,,,E,,,,,,,,W/R,,,,,,E,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16A,PBB(100%),PNL(90%),.,.,.,E,,,,,,,I,,,L,,,,,C,,C,,,,,,,C,,,,(5),,,(6),,,,(6),,,(6),,,,4(1),,,4,,,,4,,,4,,,4 [v],,,,-,,,,OLD,,,E,,,"L CRAP, did someone remove the OLD nest????",,,,OLD,,,OLD,,,,OLD,,,,,,,OLD,,,,,,,G,,,,,,,,,,,,,,,,,,,16A,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16B (old: 94),., ,.,GNT(100%),SRP(100%),W/R,,,,,,,E,,,,,,,,E,,E,,,,,,,E,,,,E,,,-,,,,W/R,,,-,,,,E,,,G,,,,E,,,G,,,G,,,,E,,,,C,,,2,,,(5),,,,(5),,,(5),,,,(5),,,,,,,5,[v],,,,,,4,,,4,,,,,,,,,,,,,,,,16B (old: 94),,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WRT(100%),GTR(99%JH),.,GTR(100%),WRT(100%),,,,,,,,I,,,,,,,,C,,C,,,,,,,(4),,,,(5),,,(5),,,,(5),,,(5),,,,3(2),,,2,,,,3(2) trapped bird already banded,.,,3(1),,,[v],,,,- parent on nest,.,OLD,,OLD,,,OLD,,,C,,,,OLD,,,(1),,,,(5),,,,,,,(5),,,,,,,5,,,,,,,,,,,,,4,,,,,,17,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,.,.,.,CRY(100%),SWG(100%) but also was noted STW(99%SD),E,,,,,,,W/R,,,,,,,,G,,U,,,,,,,(1),,,,(1),,,C,,,,(1),,,U,,,,C,,,C,,,,W/O,,,W/O,,,W/R,,,,E,,,,W/R,,,W/?,,,U,,,,(3),,,(5),,,,(5),,,,,,,2(3),[v],,,,,,5,,,,,,,,,5,,,,,,,,,,18,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,YBR(100%),YSR(100%),.,.,.,E,,,,,,,W/R,,,,,,,,E,,E,,,,,,,-,,,,E,,,-,,,,G,,,-,,,,G,,,G,,,,E,,,C,,,L,,,,(5),,,,(5) [v],,,(5) [v],,,[v] (5),,,,,,,4(1),,,,2(1),,,,,,,2(1),[v],,,,,2(1),2,,,,,,,,,,,,,,,,,,,19,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,.,.,.,.,.,E,,,,,,,W/R,,,,,,,,E,,E,,,,,,,U,,,,L,,,C,,,,C/O,,,C/O,,,,(5),,,C/O,,,,C/O,,,C/O,,,C/O,,,,C/O,,,,C/O,,,C,,,C/R,,,,G,,,E,,,,G,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,.,.,.,.,.,E,,,,,,,W/R,,,,,,,,W/R,,E,,,,,,,W/R,,,,W/R,,,W/R,,,,W/R,,,W/R,,,,W/R,,,W/R,,,,E,,,E,,,E,,,,E,,,,W/R,,,-,,,E,,,,W/O,,,W/O,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,YWS (100%),CTS(95%tgm);CGS(90JH),.,.,.,E,,,,,,,I,,,,,,,,I,,E,,,,,,,-,,,,E,,,-,,,,E,,,(1),,,,(4),,,(6),,,,(6),,,(6),,,(6),,,,2(4),,[v],,5(1)[v],,,4(1),,,5(1),,,,5(1)[v],,,5(1),,,,OLD,,,,,,,OLD,,,,,,,G,,,,,,,,,,,,,,,,,,,22,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,.,.,.,.,.,E,,,,,,,W/R,,,,,,,,E,,E,,,,,,,-,,,,E,,,-,,,,E,,,-,,,,E,,,G,,,,E,,,G,,,E,,,,W/R,,,,W/R,,,W/R,,,E,,,,G,,,E,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,RBD(100%),,.,.,.,E,,,,,,,W/R,,,,,,,,C,,C,,,,,,,(4),,,,(6) ,,,(6),,,,(6),,,(6),,,,5,,,3,,,,5,,,5,,,5,,,,4,,,,L,,,C,,,OLD,,,,W/R,,,E,,,,G,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,24,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,.,.,.,.,.,E,,,,,,,W/R (paint fading),,,,,,,,E,,E,,,,,,,W/R,,,,W/R,,,W/R,,,,G,,,-,,,,G,,,G,,,,W/R,,,G,,,W/R,,,,E,,,,E,,,E,,,G,,,,G,,,E,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,.,.,.,.,.,E,,,,,,,W/R (no snaptrap or RFID),,,,,,,,,,E,,,,,,,W/R,,,,G,,,G,,,,-,,,-,,,,-,,,E,,,,E,,,G,,,W/R,,,,W/R,,,,-,,,E,,,E,,,,W/?,,,-,,,,G,,,,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,.,.,.,.,.,E,,,,,,,W/R,,,,,,,,W/R,,U,,,,,,,C,,,,G,,,G,,,,G,,,-,,,,(7),,,C/O,,,,C/O,,,C/O,,,C/O,,,,C/O,,,,C/O,,,C,,,C/R,,,,W/R,,,E,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,.,.,.,.,.,E,,,,,,,E,,,,,,,,E,,E,,,,,,,E,,,,E,,,-,,,,G,,,-,,,,E,,,G,,,,E,,,E,,,W/R,,,,W/R,,,,W/R,,,E,,,W/R,,,,E,,,E,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,.,.,.,.,.,E,,,,,,,W/R,,,,,,,,W/R,,E,,,,,,,E,,,,G,,,G,,,,G,,,-,,,,G,,,G,,,,G,,,G,,,E,,,,W/R,,,,W/R,,,E,,,E,,,,E,,,G,,,,G,,,,,,,E,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,.,.,.,.,.,E,,,,,,,E,,,,,,,,E,,E,,,,,,,E,,,,G,,,E,,,,G,,,-,,,,E,,,G,,,,G,,,G,,,G,,,,G,,,,E,,,E,,,E,,,,E,,,G,,,,G,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,RYD(100%),GBR(90%tgm),.,.,.,E,,,,,,,E,,,,,,,,U,,U,,,,,,,C,,,,C,,,(6),,,,(6),,,(6),,,,(6),,,(6),,,,6,,,6,,,6,,,,-,,,,6,,,C,,,OLD,,,,OLD,,,OLD,,,,OLD,,,,,,,OLD,,,,,,,OLD,,,,,,,,,,,,,,,,,,,53,,,#DIV/0!,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,U,,,,C,,,(2),,,,-,,,C,,,,-,,,(3),,,,-,,,2(1),,,,,,,2(1),,,,,,,2(1),,,,,,,(1),,,,,,,(1),,,,,,,(1),,,,,,,C/OLD,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,-,,,,E,,,E,,,,-,,,-,,,,-,,,E,,,,-,,,E,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,(4),,,,,,,(4),,,,,,,1,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,.,.,,.,.,E,,,,,,,W/R,,,,,,,,,,E,,,,,,,L,,,,I,,,W/R,,,,-,,,-,,,,-,,,E,,,,-,,,E,,,,,,,G,,,,,,,E,,,,,,,W/?,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,.,.,,.,.,E,,,,,,,E,,,,,,,,,,E,,,,,,,-,,,,W/R,,,U,,,,-,,,U,,,,-,,,(6),,,,-,,,(6),,,,,,,6,,,,,,,6,,,,,,,L,,,,,,,L,,,,,,,L,,,,,,,L,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,.,.,,.,.,E,,,,,,,W/R,,,,,,,,,,W/R,,,,,,,-,,,,E,,,G,,,,-,,,-,,,,-,,,W/R,,,,-,,,G,,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,W/R,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,.,.,,.,.,E,,,,,,,W/R,,,,,,,,,,W/R,,,,,,,-,,,,G,,,G,,,,-,,,W/O,,,,-,,,W/O,,,,-,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/?,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,W/R,,,,E,,,E,,,,-,,,-,,,,-,,,E,,,,-,,,G,,,,,,,-,,,,,,,E,,,,,,,G,,,,,,,W/R,,,,,,,G,,,,,,,E,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,-,,,,G,,,G,,,,-,,,-,,,,-,,,E,,,,-,,,G,,,,,,,G,,,,,,,E,,,,,,,W/?,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,W/R,,,,W/R,,,W/R,,,,-,,,W/R,,,,-,,,W/R,,,,-,,,W/?,,,,,,,W/O,,,,,,,(7),,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/R,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,.,.,,.,.,E,,,,,,,E,,,,,,,,,,W/R,,,,,,,W/R,,,,W/R,,,W/R,,,,-,,,W/O,,,,-,,,W/O,,,,-,,,W/?,,,,,,,W/O,,,,,,,5,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
