Nestbox,"PAIRS, first round",,,"PAIRS, second round",,,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F
10,.,.,.,GON(100% Capture),PWL(100% Capture) ,ORO(95%tm),E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,W/R,,,E,,E,,E,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,,W/R,,,,,,E,,,,,,,C,,,,,,,(5),,,,,,,(5),,,,,,,5,,,,,,5,5,,,,,,GET,,5,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,.,.,.,.,.,,E,,,,,,,U/C,,,,,,,C,,,,,,,,,,,,,,(7),,(7),(7),,7,,7,,,7,,7dead chicks*,.,,,,E,,,,,,,E,,,,,,,,E,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/O,,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"YBR (captured and banded, AL)",.,.,.,.,,E,,,,,,,E,,,,,,,L,,,,,,,,,,,,,,(7),,(7),(7),,(7),,(7),,,(7),,(3)4,,,,,4(3),,,,,,,4(3),,OLD,,,,,,W/R,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,W/R,,,,,,,C,,,,,,,W/R,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ONL(likely male),RWS(100%captured),.,.,.,,E,,,,,,,U/C,,,,,,,L,,,,,,,,,,,,,,(7),,(3)4,(1)6,,7,,6,,,6,,>2,,,,,7,,,,,,,OLD,,,,,,,,OLD,,,,,,U,,,,,,,C,,,,,,,OLD,,,,,,,C,,,,,,,C,,,,,,,old,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,.,GRS 99%,UNB,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,E,,,E,,E,,E,,,E,,,,,,,E,,,,,,,W/R,,,,,,,,W/R,,,,,,W/R,,,,,,,(5),,,,,,,(4),,,,,,,3 (1),,,,,,3,(1)3,,,,,,GET,3,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15A,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,E,,,E,,I,,L,,,L,(7)?,,,,,,L,,,,,,,W/R,,,,,,,,E,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15B (old: 54),GYO(male),RNS (100%-captured),.,.,.,,E,,,,,,,U,,,,,,,C,,,,,,,,,,,,,,(7),,(7),(7)cold,,(7),,(7) cold eggs,.,,(7),,,,,,,(7),,,,,,,(7),,,,,,,,(6),,,,,,(7)cold,,,,,,,C,,,,,,,"C - volunteer notedsticks on top of titmouse nest, not ejected?",.,,,,,,W/R,,,,,,,C,,,,,,,old,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15C (old: 62),"RLR (captured and banded, OS)",RLB(100%captured),.YBO (volunteer),.,.,,W/R,,,,,,,W/R,,,,,,,C,,,,,,,,,,,,,,(6),,(6),(6),,(6),,(2)4,,,6,,>2,,,,,6,,,,6,,,banded bird flew out; did not count,.,,,OLD,,,,OLD,,,,,,C,,,,,,,C,,,,,,,OLD,,,,,,,C,,,,,,,C,,,,,,,old,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16A,UNB 95%,LNL(99%tm),PBB(100%capture),.,.,,L,,,,,,,C,,,,,,,(3),,,,,,,,,,,,,,(7),,(7),(2)5,,7,,7,,,7,,>2,,,,,7,,,,,,,OLD,,OLD,,,,,,OLD,,,,,,C,,,,,,,C,,,,,,,OLD,,,,,,,C,,,,,,,C,,,,,,,old,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16B (old: 94),UNB,RLB(100%captured),.,.,.,,I,,,,,,,W/R,,,,,,,W/O,,,,,,,,,,,,,,(6),,(6),(6),,(7),,(7),,,(7),,(7),,(7),,,5,.,,,,,,5,,,,5(smallest one failed to get an RFID. It was too small),.,OLD,,-,,,,,OLD,C,,,,,,,C,,,,,,,OLD,,,,,,,C,,,,,,,C,,,,,,,U,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
