Nestbox,"PAIRS, first round",,,"PAIRS, second round",,,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F,S,Su,M,T,W,R,F
17,UNB 80%,GTR (captured and confirmed) ,.,.,.,,E,,,,,,,W/R,,,,,,,C,,,,,,,,,,,,,,(6),,(6),(6),,(6),,(6),,,6,,>2,,,,,6,,,,6,,,.,,,,,,,,OLD,,,,,OLD,C,,,,,,,C?,,,,,,,"OLD? - volunteer noted a wren nest on top of titmouse nest, not ejected?",.,,,,,,OLD - w/r from on top of old titmouse nest,.,,,,,,C,,,,,,,old,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UNB,.,.,.CRY,.,,E,,,,,,,E,,,,,,,C,,,,,,,,,,,,,,(6) (1 of 6 is broken),.,(5),(5),,(5),,(5),,,(1)4,,,,4(1),,,4(1),,,,,,,(1)4,,,,,,,,OLD,,,,,OLD,(3),,,,,,,(4),,,,,,,(4),,,,,,,4,,,,,,4,4,,GET,,,,,old,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,.,.,.,.,.,,L,,,,,,,C/U,,,,,,,C,,,,,,,,,,,,,,,,(4)3,6,,7,,7,,,6,,>2,,,,,7,,,,,,,OLD,,OLD,,,,,C,,,,,,,C,,,,,,,C,,,,,,,OLD,,,,,,,C,,,,,,,C,,,,,,,old,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,(5),(6),,(5),,(5),,,(5),,(5),,,,,(2)3,,,,,,,5,,,,5-almost too young to process,.,,-,,,,,,OLD,C,,,,,,,C,,,,,,,OLD,,,,,,,C,,,,,,,C,,,,,,,old,,,,,,,,WASPS (The spray made them angry),.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,UNB 50%,WRO (75% AL),.,.,.,,I,,,,,,,U,,,,,,,(1),,,,,,,,,,,,,,,,(6),(6),,(6),,6,,,6,,>2,,,,,6,,,,6,,,2 flew out; walked away,.,,,OLD,,,W/R,,,,,,OLD,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"YBB (captured and banded, AL)",.,.,.,.,,I,,,,,,,E,,,,,,,C,,,,,,,,,,,,,,,,(7),(6),,(7),,(7),,,(7),,7,,,,,7,,,,,,,7,,7,,,,,C,,,,,,OLD,- (grass placed?),.,,,,,,C,,,,,,,OLD - W/O,,,,,,,W/O,,,,,,,C- titmouse thick wren top?,.,,,,,,(6),,,,,,4,,4,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,.,.,.,.,.,,E,,,,,,,E,,,,,,,L,,,,,,,,,,,,,,,,U,U,,(1),,(2),,,(2),,(2),,(2) cold,,,(2)cold,,,,,,,(2) cold,.,,,,,,(2) cold,.,,,,,,(2),,,,,,,(2),,,,,,,(2),,,,,,,(2),,,,,,,(2),,,,,,,old,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,W/R,E,,E,,E,,,E,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,(1),,,,,,,(4),,,,,,,(4),,,,,,"1 old egg, dead clutch",old,,,,,,,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,UNB,.,.,.,.,,E,,,,,,,E,,,,,,,L,,,,,,,,,,,,,,,,(7),(6),,(7),,C parent would not leave),.,,(6),,(6),,(5) 2dead nestlings,,,(7),,,,,,,(5),,,,,,,(6)cold and 2 of them broken,.,,,,,,(5),,,,,,,(4-5),,,,,,,(1) OLD,.,,,,,,(4),,,,,,,"(6)?- one egg broken, most tangled with nest material",.,,,,,3 hollow eggs,.,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,L,,,,,,(6),(6),,(6),,(6),,,(6),,(6),,(6),,,(6),,,,,,,(6),,,,,,,(6)cold  ,.,,,,,,(6) cold,,,,,,,(5),,,,,,,(6),,,,,,,(5),,,,,,,(5),,,,,,,old,,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,C,,,,,,,(3),,,,,,,(6),,,,(6),,,(6),,,,,,,6,,,,,,,6,,,,,,,C (old?),,,,,,,C,,,,,,,C,,,,,,,/,,,,,,,old,,,,,,,old,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,L,,,,,,,L,,,,,,,L,,,,,,,U,,,,,,,L,,,,,,,L,,,,,,,W/R,,,,,,,U,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E/I,,,,,,,W/R,,,,,,,E,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,UNB (80%),.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,U,,,,,,,(4),,,,,,,(7),,,,(7),,,(7),,,,,,,5 +1dead,.,,,,,,5 (door open),.,,,,,,OLD,,,,,,,OLD,,,,,,,U,,,,,,,U,,,,,,,U,,,,,,,E,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,.,.,.,.,.,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,,,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,G,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,W/O,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,.,.,.,.,.,,E,,,,,,,W/R,,,,,,,L,,,,,,,,,,U,,,,,,,W/O,,,,,,,(6),,C/O (7),",",,,,7,,,,,,,7,,,,,,,5-6; 1 flew out and was returned,.,,,,W/R ; C under,.,W/R,,,,,,,?/O,,,,,,,C,,,,,,,C,,,,,,,C,,,,,,,W/O,,,,,,,C-MIXED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,.,.,.,.,.,,W/O,,,,,,,W/O,,,,,,,-,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38A,.,.,.,.,.,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,,,,C,,,,,,,(2),,,,,,,(4),,(4),,(4),,,(4),,,,,,,bird on nest,.,,,,,,3(1),,,,,,,3? (about to fledge),.,,,,,,?/O,,,,,,,(1),,,,,,,C,,,,,,,(1)- mixed nest,.,,,,,,(1),,,,,,,(1)-MIXED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38B (old: 95) DNE?,.,.,.,.,.,,?,,,,,,,W/R,,,,,,,W/R,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,.,.,.,.,.,,E,,,,,,,E,,,,,,,-,,,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/O ,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,"(2) 5- nest looks like wren nest, has very little moss",.,,,,,,W/O,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,C,,,,(1),,,(4),,,,,,,(6),,,,(6),,,(6) one egg light,.,,,,,,5,,,,,,,4,,,,,,,dead chickadee (nestling?) in the nest. was this a chickadee all along,.,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,.,.,.,.,.,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,,,,W/R,X/R,,,W/R,,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,.,.,.,.,.,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,,,,WR,E,,,E,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,.,.,.,.,.,,W/O,,,,,,,W/O,,,,,,,-,,,,,,,,,,,X/O,,,,,,,X/O,W/O,,W/O,,,,X/O,,,,,,W/O,,,,,,,,W/O,,,.,,,,W/O,,,,,,,W/O,,,,,,?/-,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,.,.,.,.,.,,E,,,,,,,W/R,,,,,,,W/R,,,,,,,,,,,E,,,E,,,,E,E,,E,,,,E,,,,,,E,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,W/O,,,,,,,W/O,,,,,,,,W/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,E,,,E,,,,E,E,,E,,,,E,,,,,,E,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,-/-,,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,E,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,U,,,(4),,,,(6),(6),,(6),,,,(6),,,(6),,,(4)2,,,,,,,,2(4),,,2 too young to process fully. Still need PITags,.,,,-,,,,OLD(3),.,,C,,,,,,-/O,,,,,,,(3),,,,,,,(3),,,,,,,(3),,,,,,,(3),,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,I,,,I,,,,I,I,,I,,,,I,,,,,,I,,,,,,,,I,,,,,,,E,,,,,,,I,,,,,,-/O,,,,,,,(6),,,,,,,(6),,,,,,,4(1) ,,,,,,,4(1),,,,,,,,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,.,.,.,.,.,,W/O,,,,,,,W/O,,,,,,,-,,,,,,,,,,,W/R,,,,,,,E,E,,E,,,,E,,,,,,E,,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,?/R,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,G,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,.,.,.,.,.,,W/R,,,,,,,W/R,,,,,,,W/R,,,,,,,,,,,W/O,,,W/O,,,,W/O,W/O,,W/O,,,,W/O,,,,,,W/O,,,,,,,,W/O,,,,W/O,,,W/R old,,,,,,,W/O,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,W/O,,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,.,.,.,.,.,,E,,,,,,,E,,,,,,,C,,,,,,,,,,,C/O?,,,(7),,C/O,,C/O,C/O,,(7) - parent flew out,.,,,C/O,,,,,,C/O,,,,,,,,C/O,,,,C/O,,,W?/O,,,,,,,W/R,,,,,,E,,,,,,,E,,,,,,,G,,,,,,,G,,,,,,,E,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,.,.,.,.,.,,E,,,,,,,E,,,,,,,E,,,,,,,,,,,E,,,E,,,,E,E,,E,,,,E,,,,,,E,,,,,,,,-,,,,,,,E,,,,,,,W/R,,,,,,?/R,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,E,,,,,,,,W/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
