,Year,Data Needed (see orange cell),Blood in Hand (ref. priority extraction sheet for location of sample) ,,Metal  # (highlighted yellow if missing data on this bird),Color Combo,Sex,Date,"Status (New,Previous year, It's Alive!!)",Location: Feeder/MistNet/NB,"Age (ASY,AHY,HY(Juv),Nestling)","Color crest (3blk,2drk grey,1light grey)","Color proximal lower mandible (3blk,2drk grey,1light grey)",Blood Taken,Feathers Taken,Mass (g),Tarsus (mm),Wing (mm),RFID #,Tarsus/wing  collected by,IA nestbox of origin,Notes,Other Notes,Recapture date,Recapture location,
,2018,,Yes,,244102008,YSB,M,06/23/18,,Trial 33,Juv,,,Yes,,19.4,20.2,,01103F77EB,,,"GPS point: N 29˚40'099"", W 098˚20'014"" ; Female - male was singing in the tree and attacked the model while the female was caught",,,,
,2018,,Yes,,244102009,YYR,M,06/23/18,,Trial 33,Juv,,,Yes,,20.0,19.9,,011016B7A6,,,"GPS point: N 29˚40'099"", W 098˚20'014"" ; difficulty bleeding, took blood from both wings",,,,
,2018,,Have 483 (6/25/18) & 483 (5/19/18) ,,258114483,SBY,M,06/25/18,,Trial 34,Adult,,,Yes,,20.1,21.2,,*,,,"GPS point: N 29˚41.041', W 098˚20.034' ; changed bands, already caught; Bambi Alfallfa Argus",,,,
,2018,,Yes,,244102010,YRY,M,06/25/18,,Trial 35,Juv,,,Yes,,18.8,21.4,,01103F7404,,,"GPS point: N 29˚40.340', W 098˚20.289' ; body molt - belly and back; 3/2 primary, 2 secondary (both sides) ",,,,
,2018,,Yes,,244102011,SGT,M,06/26/18,,Trial 37,Juv,,,Yes,,17.6,19.5,,011016D447,,,"GPS point: N 29˚40.150', W 098˚20.319' ; 1,4 primary mold right wing ; 4 primary mold left wing; back-molt",,,,
,2018,,Yes,,244102012,YSS,M,06/27/18,,Trial 39,Juv,,,Yes,,18.6,20.7,,01103F39E0,,,"GPS point: N 29˚39.856', W 098˚20.358' ; only has two tail feathers ; Name = Psycho Apocalypse",,,,
,2018,,Yes,,244102013,SBT,M,06/29/18,,Trial 42,Juv,,,Yes,,20.2,20.7,,011016A710,,,"GPS point: N 29˚39.467', W 098˚20.021' ; primary 3+2+1 molt, bald wing muscle and legs",,,,
,2018,,Yes,,244102014,YGS*,M,06/29/18,,Trial 43,Juv,,,Yes,,19.9,20.1,,011016D85E,,,"GPS point: N 29˚361', W 098˚19.931' (incorrect N coordinate? Also, duplicate band combo with bird 244102015)*.                                      Female? (heard singing in trees); missing feathers between the eyes and the bill; 4 Primary Molting",,,,
,2018,,Yes,,244102015,YGS,M,07/02/18,,Trial 22,Juv,,,Yes,,19.4,20.8,,011016E30A,,,"GPS point: GPS point: N 29°40.521', W 098°20.592'    Duplicate band combo with bird 244102014*",,,,
,2018,,Yes,,244102017,YOR,M,07/07/18,,Trial 47,Juv,,,Yes,,19.4,20.7,,01103F6D95,,,"GPS point: N 29˚39.466', W 098˚20.776'",,,,
,2018,,Yes,,244102016,YTW,F,07/07/18,,Trial 47,Juv,,,Yes,,16.0,19.0,,01103F6EFB,,,"GPS point: N 29˚39.466', W 098˚20.776'",,,,
,2018,,Yes,,244102018,SYB,M,07/09/18,,Trial 44,Adult,,,Yes,,17.8,20.4,,0110174DD9,,,"GPS point: N 29˚39.869', W 098˚20.505'",,,,
,2018,,Yes,,244102020,SWT,F,07/10/18,,Trial 26,Juv,,,Yes,,15.9,18.9,,011016E7BA,,,"GPS point: N 29˚40.335', W 098˚21.031'      1,8 secondary molt left; 1,9,10 secondary right molting",,,,
,2018,,Yes,,244102019,YRT,M,07/10/18,,Trial 26,Adult,,,Yes,,18.7,19.5,,011016C514,,,"GPS point: N 29˚40.335', W 098˚21.031'",,,,
,2018,,Yes,,244102021 SST,YSL,F,07/11/18,,Trial 51,Juv,,,Yes,,16.0,19.9,,011016DEBB,,,"GPS point: N 29˚41.087', W 098˚19.923'",,,,
,2018,,Yes,,244102022 SWT,SST,M,07/12/18,,Trial 53,Adult,,,Yes,,17.4,20.5,,011016C3D6,,,"GPS point: N 29˚40.186', W 098˚21.265'  Weird toe, right foot - toenail fell off during measurements. ",,,,
,2019,,Yes,,244102024,,,04/18/19,,NB8,Nestling,,,Yes,,18.53 (w/ fecal sac),19.2,,011016ECBF,,,"Only 2 survivors of 8 hatchlings, but no nest damage. Re-caught @ Feeder 4, 10/12, at 8:54 am",,,,
,2019,,Yes,,244102023,SYR,,04/18/19,,NB8,Nestling,,,Yes,,16.6,19.3,,011016A7D3,,,"Two adults nearby, one w/ food in beak, both chattering (one unbanded)",,,,
,2019,,Yes,,244102030,YLS,,04/18/19,,NB29,Nestling,,,Yes,,18.1,19.5,,011016CAE9,,,,,,,
,2019,,Yes,,244102025,YSG,,04/18/19,,NB29,Nestling,,,Yes,,17.3,18.4,,01103F6CB3,,,"One adult chattering nearby; one more came close, also chattering",,,,
,2019,,Yes,,244102027,YWS,,04/18/19,,NB29,Nestling,,,Yes,,16.7,19.4,,0110135571*,,,,,,,
,2019,,Yes,,244102028,YYT,,04/18/19,,NB29,Nestling,,,Yes,,16.0,18.3,,011017397A,,,,,,,
,2019,,Yes,,244102031,YYW,,04/18/19,,NB29,Nestling,,,Yes,,16.6,18.4,,01103F6191,,,*Duplicate band combo with juv from 13,"11/3/2021 - The data sheet does not confirm blood, will need to verify in refrigerator",,,
,2019,,Yes,,244102026,YYY,,04/18/19,,NB29,Nestling,,,Yes,,16.6,18.7,,011016F2FA,,,Sticker for this RFID tag ended up in the trash but was found and verified on 4/20/19,,,,
,2019,,Yes,,244102034,SOO,,04/19/19,,NB1,Nestling,,,Yes,,18.1,18.1,,011016EF46,,,Parent flew in and out of box quickly when we first arrived at the box,,,,
,2019,,Yes,,244102035,SOS,,04/19/19,,NB1,Nestling,,,Yes,,18.3,18.3,,011016AE88,,,,,,,
,2019,,Yes,,244102036,SRL,,04/19/19,,NB1,Nestling,,,Yes,,18.4,18.4,,011016C0E2,,,,,,,
,2019,,Yes,,244102033,SSY,,04/19/19,,NB1,Nestling,,,Yes,,16.5,16.5,,011016CE9F,,,Not much blood taken,,,,
,2019,,Yes,,244102037,STR,,04/19/19,,NB1,Nestling,,,Yes,,19.2,19.2,,011016F790,,,,,,,
,2019,,Yes,,244102038,SYG,,04/19/19,,NB1,Nestling,,,Yes,,18.2,18.2,,011016BF7B,,,*Parent likely abandoned nest; all nestlings were found deceased inside the nest on 4/23/19,,,,
,2019,,Yes,,244102032,SYO,,04/19/19,,NB1,Nestling,,,Yes,,17/8,17.8,,011016AD6C,,,"Bird is very stressed, not responsive",,,,
,2019,,Yes,,244102044,YGW,,04/19/19,,NB13,Nestling,,,Yes,,16.0,18.9,,011016B7B2,,,Weighed with metal band; RFID tag applied on 4/20/19,,,,
,2019,,Yes,,244102040,YLW,,04/19/19,,NB13,Nestling,,,Yes,,16.9,18.9,,011016CDBE,,,,,,,
,2019,,Yes,,244102042,YOO,,04/19/19,,NB13,Nestling,,,Yes,,16.5,19.0,,0110171C36,,,Weighed with metal band,,,,
,2019,,Yes,,244102041,YRR,,04/19/19,,NB13,Nestling,,,Yes,,16.6,19.0,,01103F7472,,,Weighed with metal band,,,,
,2019,,Yes,,244102043,YSY,,04/19/19,,NB13,Nestling,,,Yes,,18.8,19.7,,011016B09C,,,Weighed with metal band,,,,
,2019,,Yes,,244102039,YYW,,04/19/19,,NB13,Nestling,,,Yes,,17.2,18.9,,011016BEB0,,,*Duplicate band combo with juv from 29,,,,
,2019,,Yes,,244102048,SLL,,04/19/19,,NB65,nestling,,,Yes,,18.3,18.3,,011016ABB3,,,,,,,
,2019,,Yes,,244102046,SRB,,04/19/19,,NB65,nestling,,,Yes,,19.5,19.5,,011016F58A,,,,,,,05/31/21
,2019,,Yes,,244102049,SRW,,04/19/19,,NB65,nestling,,,Yes,,18.9,18.9,,011016DA4B,,,,,,,04/21/21 NB64
,2019,,Yes,,244102047,SSL,,04/19/19,,NB65,nestling,,,Yes,,19.1,19.1,,011016CE16,,,The sky band looks like white on this nestling,,,,
,2019,,Yes,,244102051,STG,,04/19/19,,NB65,nestling,,,Yes,,19.4,19.4,,01101714B8,,,,,,,
,2019,,Yes,,244102045,STL,,04/19/19,,NB65,nestling,,,Yes,,14.5,17.7,,011016DB25,,,RFID tags added to all nestlings on 4/20/19,,,,
,2019,,Yes,,244102050,STO,,04/19/19,,NB65,nestling,,,Yes,,19.2,19.2,,011016AC90,,,,,,,
,2019,,Yes,,244102058,SBW,,04/20/19,,NB39,Nestling,,,Yes ,,17.1,not taken,,011016ED4D,,,,,,,
,2019,,Yes,,244102059,SGO,,04/20/19,,NB39,Nestling,,,Yes ,,16.7,not taken,,011016F6D4,,,,,,,
,2019,,Yes,,244102056,SGR,,04/20/19,,NB29,Adult (second year),,,Yes,,-,-,,011016A73F,,,"Blue under bill, SY",,,,
,2019,,Yes,,244102060,SLT,,04/20/19,,NB39,Nestling,,,Yes ,,15.6,not taken,,011016AA27,,,,,,,
,2019,,Yes,,244102052,SOT,,04/20/19,,NB1,Adult,,,Yes,,-,-,,011016A3E3,,,Male singing outside box; caught bird is smaller than summer males; multiple unsuccessful bleeding attempts on both wings (couldn't visualize veins); bird was held onto for a period of over an hour,,,,
,2019,,Yes,,244102061,SRR,,04/20/19,,NB39,Nestling,,,Yes ,,17.4,not taken,,011016D3B8,,,,,,,
,2019,,Yes,,244102053,SRS,,04/20/19,,NB13,Adult,,,Yes,,-,-,,011016D0D2,,,,,,,
,2019,,Yes,,244102063,SSO,,04/20/19,,NB39,Nestling,,,Yes ,,14.2,not taken,,011016D01F,,,Weighed with metal band and RFID tag,,,,
,2019,,Yes,,244102054,SWL,,04/20/19,,NB8,Adult,,,Yes,,-,-,,011016E5BE,,,"Babies present when trap set up, hidden when bird caught and trap removed; double poke on left wing but blood didn't flow; successfully bled on right",,,,
,2019,,Yes,,244102062,SYL,,04/20/19,,NB39,Nestling,,,Yes ,,16.9,not taken,,011016D5C0,,,,,,,
,2019,,Yes,,244102055,YBG,,04/20/19,,NB52,Adult,,,Yes,,-,-,,01103F856E,,,"When attempting to catch: two parents visited the nest; first entered and left box quickly, second (caught) entered once; caught bird has high crest that's visibly larger than other caught birds, making lots of chatters and screeches; bird got away before blood was taken, but bands were applied; male singing began immediately after bird escaped; multiple later catch attempts on both parents at this box were unsuccessful. Re-captured 1/16/21, missing band. Blood sample taken, but only small sample present (cold weather).",,,,
,2019,,Yes,,244102057,YYG,,04/20/19,,NB65,Adult (second year),,,Yes,,-,-,,01103F4D16,,,"Crest very grey, steely blue-grey bill; multiple unsuccessful bleeding attempts on L wing, one successful attempt on R wing",,,,
,2019,,Yes,,244102064,YLO,,04/22/19,,NB52,Nestling,,,Yes,,18.0,not taken,,01103F570F,,,"RFID tag was tight, loosened by taking off and opening a little bit",,,,
,2019,,Yes,,244102068,YLR,,04/22/19,,NB52,Nestling,,,Yes,,16.6,not taken,,01103F6D90,,,,,,,
,2019,,Yes,,244102066,YRB,,04/22/19,,NB52,Nestling,,,Yes,,17.0,not taken,,011016B902,,,*Duplicate band,Caught in trap at F10 on 9/14/19; Caught in trap at F9 on 11/23/19,,,
,2019,,Yes,,244102069,YTO,,04/22/19,,NB52,Nestling,,,Yes,,16.0,not taken,,01103F581B,,,,,,,
,2019,,Yes,,244102070,YWO,,04/22/19,,NB52,Nestling,,,Yes,,17.3,not taken,,011016CC3B,,,,Recaught on 2/1/21 at F16,,,
